Chidamber-Kemerer metrics,Sun, 4 Dec 2022 00:22:17 WET
Class,CBO,DIT,LCOM,NOC,RFC,WMC
biz.ganttproject.core.option.DefaultEnumerationOption,5,2,3,14,30,14
biz.ganttproject.core.option.DefaultFileOption,2,3,0,0,2,1
biz.ganttproject.core.option.DefaultFontOption,4,2,4,2,18,8
biz.ganttproject.core.option.DefaultIntegerOption,2,2,2,1,9,4
biz.ganttproject.core.option.DefaultMoneyOption,2,2,2,0,10,4
biz.ganttproject.core.option.DefaultStringOption,3,2,2,6,8,4
biz.ganttproject.core.option.DoubleOption,n/a,n/a,n/a,n/a,0,n/a
biz.ganttproject.core.option.EnumerationOption,n/a,n/a,n/a,n/a,1,n/a
biz.ganttproject.core.option.FileOption,n/a,n/a,n/a,n/a,0,n/a
biz.ganttproject.core.option.FontOption,n/a,n/a,n/a,n/a,2,n/a
biz.ganttproject.core.option.FontSpec,3,1,1,0,12,8
biz.ganttproject.core.option.FontSpec.Size,3,n/a,3,n/a,4,2
biz.ganttproject.core.option.GPAbstractOption,15,1,8,13,36,28
biz.ganttproject.core.option.GPAbstractOption.I18N,1,1,2,1,2,1
biz.ganttproject.core.option.GPAbstractOption.Listeners,4,1,1,0,7,4
biz.ganttproject.core.option.GPAbstractOption.Listeners.Entry,2,1,1,0,4,3
biz.ganttproject.core.option.GPOption,n/a,n/a,n/a,n/a,19,n/a
biz.ganttproject.core.option.GPOptionChangeListener,n/a,n/a,n/a,n/a,1,n/a
biz.ganttproject.core.option.GPOptionGroup,2,1,4,2,22,21
biz.ganttproject.core.option.IntegerOption,n/a,n/a,n/a,n/a,0,n/a
biz.ganttproject.core.option.ListOption,n/a,n/a,n/a,n/a,7,n/a
biz.ganttproject.core.option.MoneyOption,n/a,n/a,n/a,n/a,0,n/a
biz.ganttproject.core.option.StringOption,n/a,n/a,n/a,n/a,0,n/a
biz.ganttproject.core.option.ValidationException,0,4,0,0,7,4
biz.ganttproject.core.table.ColumnList,n/a,n/a,n/a,n/a,5,n/a
biz.ganttproject.core.table.ColumnList.Column,n/a,n/a,n/a,n/a,10,n/a
biz.ganttproject.core.table.ColumnList.ColumnStub,2,1,6,0,12,12
biz.ganttproject.core.table.ColumnList.Immutable,2,1,1,0,1,6
biz.ganttproject.core.time.CalendarFactory,9,1,1,6,11,5
biz.ganttproject.core.time.CalendarFactory.LocaleApi,n/a,n/a,n/a,n/a,2,n/a
biz.ganttproject.core.time.DateFrameable,n/a,n/a,n/a,n/a,3,n/a
biz.ganttproject.core.time.GanttCalendar,7,3,5,0,35,22
biz.ganttproject.core.time.TimeDuration,n/a,n/a,n/a,n/a,6,n/a
biz.ganttproject.core.time.TimeDurationImpl,4,1,1,0,18,17
biz.ganttproject.core.time.TimeUnit,n/a,n/a,n/a,n/a,4,n/a
biz.ganttproject.core.time.TimeUnitDateFrameableImpl,6,2,1,1,8,4
biz.ganttproject.core.time.TimeUnitFunctionOfDate,n/a,n/a,n/a,n/a,1,n/a
biz.ganttproject.core.time.TimeUnitFunctionOfDateImpl,6,3,2,0,6,3
biz.ganttproject.core.time.TimeUnitFunctionOfDateImpl.ParameterizedTimeUnitImpl,5,1,6,0,22,14
biz.ganttproject.core.time.TimeUnitGraph,9,1,1,0,22,11
biz.ganttproject.core.time.TimeUnitGraph.Composition,3,1,1,0,3,3
biz.ganttproject.core.time.TimeUnitImpl,5,1,6,1,17,13
biz.ganttproject.core.time.TimeUnitPair,4,1,4,0,5,5
biz.ganttproject.core.time.TimeUnitStack,n/a,n/a,n/a,n/a,10,n/a
biz.ganttproject.core.time.TimeUnitStack.Util,2,1,1,0,8,5
biz.ganttproject.core.time.impl.FramerImpl,6,1,1,0,10,6
biz.ganttproject.core.time.impl.GPTimeUnitStack,12,1,4,0,45,46
biz.ganttproject.core.time.impl.GregorianTimeUnitStack,8,1,10,0,18,11
biz.ganttproject.core.time.impl.WeekFramerImpl,5,1,1,0,14,8
biz.ganttproject.core.time.impl.WeekFramerImpl.DefaultCalendarFactory,3,1,1,0,2,1
biz.ganttproject.core.time.impl.WeekFramerImpl.ICalendarFactory,n/a,n/a,n/a,n/a,1,n/a
biz.ganttproject.desktop.DesktopAdapter,1,1,1,0,2,9
biz.ganttproject.desktop.GanttProjectApi,n/a,n/a,n/a,n/a,4,n/a
biz.ganttproject.desktop.QuitResponse,n/a,n/a,n/a,n/a,2,n/a
biz.ganttproject.impex.csv.CsvImportTest,0,3,1,0,21,29
biz.ganttproject.impex.csv.GPCsvExportTest,2,4,2,0,53,11
biz.ganttproject.impex.csv.GPCsvImportTest,3,3,3,0,68,27
biz.ganttproject.impex.csv.GanttCSVExport,26,1,1,0,109,71
biz.ganttproject.impex.csv.GanttCSVOpen,13,1,5,0,51,37
biz.ganttproject.impex.csv.ImporterFromCsvFile,13,2,4,0,25,5
biz.ganttproject.impex.csv.RecordGroup,5,1,5,11,29,20
biz.ganttproject.impex.csv.ResourceRecords,11,2,1,0,34,8
biz.ganttproject.impex.csv.ResourceRecords.ResourceFields,2,n/a,2,n/a,6,2
biz.ganttproject.impex.csv.TaskRecords,21,2,1,0,88,45
biz.ganttproject.impex.csv.TaskRecords.AssignmentColumnSpecImpl,10,1,1,0,13,5
biz.ganttproject.impex.csv.TaskRecords.AssignmentSpec,n/a,n/a,n/a,n/a,1,n/a
biz.ganttproject.impex.csv.TaskRecords.ResourceColumnSpecImpl,7,1,1,0,9,7
biz.ganttproject.impex.csv.TaskRecords.TaskFields,3,n/a,2,n/a,7,3
biz.ganttproject.impex.ical.IcsConverter,1,1,1,0,12,3
biz.ganttproject.impex.ical.IcsConverter.Args,1,1,0,0,0,0
biz.ganttproject.impex.ical.IcsFileImporter,1,2,2,0,43,18
biz.ganttproject.impex.ical.IcsFileImporter.CalendarEditorPage,1,1,2,0,17,9
biz.ganttproject.impex.msproject2.CustomPropertyMapping,3,1,1,0,18,23
biz.ganttproject.impex.msproject2.CustomPropertyMappingTest,1,4,1,0,12,4
biz.ganttproject.impex.msproject2.ExporterToMsProjectFile,3,2,4,0,33,20
biz.ganttproject.impex.msproject2.ImporterFromMsProjectFile,1,2,3,0,46,11
biz.ganttproject.impex.msproject2.LocaleOption,2,3,2,0,13,6
biz.ganttproject.impex.msproject2.ProjectFileExporter,3,1,1,0,190,74
biz.ganttproject.impex.msproject2.ProjectFileExporter.CustomPropertySetter,n/a,n/a,n/a,n/a,1,n/a
biz.ganttproject.impex.msproject2.ProjectFileImporter,3,1,2,0,248,135
biz.ganttproject.impex.msproject2.ProjectFileImporter.HolidayAdder,n/a,n/a,n/a,n/a,2,n/a
biz.ganttproject.impex.msproject2.WebStartIDClass,0,1,0,0,0,0
com.googlecode.ant_deb_task.BuildDeb,1,1,1,0,24,12
com.googlecode.ant_deb_task.Deb,10,1,1,0,121,110
com.googlecode.ant_deb_task.Deb.Changelog,2,1,3,0,9,9
com.googlecode.ant_deb_task.Deb.Changelog.Format,1,1,1,0,1,1
com.googlecode.ant_deb_task.Deb.Description,2,1,2,0,14,11
com.googlecode.ant_deb_task.Deb.Maintainer,1,1,2,0,8,4
com.googlecode.ant_deb_task.Deb.Priority,1,1,1,0,1,1
com.googlecode.ant_deb_task.Deb.Section,2,1,1,0,6,4
com.googlecode.ant_deb_task.Deb.Version,1,1,3,0,15,10
com.googlecode.ant_deb_task.DesktopEntry,8,1,1,0,63,61
com.googlecode.ant_deb_task.DesktopEntry.Comment,2,2,0,0,2,1
com.googlecode.ant_deb_task.DesktopEntry.GenericName,2,2,0,0,2,1
com.googlecode.ant_deb_task.DesktopEntry.Icon,2,2,0,0,2,1
com.googlecode.ant_deb_task.DesktopEntry.LocalizedEntry,5,1,5,4,14,12
com.googlecode.ant_deb_task.DesktopEntry.Name,2,2,0,0,2,1
com.googlecode.ant_deb_task.DesktopEntry.Type,1,1,1,0,1,1
com.googlecode.ant_deb_task.GZipOutputStream,2,4,1,0,24,19
com.googlecode.ant_deb_task.UnixPrintWriter,2,3,1,0,12,6
net.sourceforge.ganttproject.AbstractChartImplementation,34,1,10,2,103,64
net.sourceforge.ganttproject.AbstractChartImplementation.ChartSelectionImpl,3,1,3,2,6,7
net.sourceforge.ganttproject.AbstractChartImplementation.MouseHoverLayerUi,5,3,2,0,32,5
net.sourceforge.ganttproject.CalendarEventAction,4,3,1,4,18,17
net.sourceforge.ganttproject.ChartComponentBase,38,5,11,2,98,45
net.sourceforge.ganttproject.ChartImplementation,n/a,n/a,n/a,n/a,11,n/a
net.sourceforge.ganttproject.ChartTabContentPanel,10,1,1,2,69,25
net.sourceforge.ganttproject.CustomProperty,n/a,n/a,n/a,n/a,3,n/a
net.sourceforge.ganttproject.CustomPropertyClass,10,n/a,4,n/a,12,9
net.sourceforge.ganttproject.CustomPropertyDefinition,n/a,n/a,n/a,n/a,12,n/a
net.sourceforge.ganttproject.CustomPropertyHolder,n/a,n/a,n/a,n/a,2,n/a
net.sourceforge.ganttproject.CustomPropertyListener,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.CustomPropertyManager,n/a,n/a,n/a,n/a,8,n/a
net.sourceforge.ganttproject.CustomPropertyManager.PropertyTypeEncoder,10,1,2,0,14,30
net.sourceforge.ganttproject.DefaultCustomPropertyDefinition,8,1,4,0,26,19
net.sourceforge.ganttproject.DesktopIntegration,11,1,2,0,9,9
net.sourceforge.ganttproject.DialogBuilder,9,1,1,0,37,18
net.sourceforge.ganttproject.DialogBuilder.Commiter,1,1,1,0,2,2
net.sourceforge.ganttproject.DialogBuilder.DialogImpl,7,1,1,0,13,7
net.sourceforge.ganttproject.DialogBuilder.NotificationViewImpl,2,1,2,0,14,8
net.sourceforge.ganttproject.ErrorNotifier,1,1,1,0,15,4
net.sourceforge.ganttproject.FacadeInvalidator,3,2,2,0,12,10
net.sourceforge.ganttproject.GPLogger,83,1,4,0,60,26
net.sourceforge.ganttproject.GPTransferable,13,1,2,0,41,11
net.sourceforge.ganttproject.GPTreeTableBase,41,7,9,2,189,113
net.sourceforge.ganttproject.GPTreeTableBase.ColumnImpl,7,1,4,0,29,18
net.sourceforge.ganttproject.GPTreeTableBase.HeaderMouseListener,7,2,1,0,36,14
net.sourceforge.ganttproject.GPTreeTableBase.SortTableHeaderRenderer,2,1,1,0,10,6
net.sourceforge.ganttproject.GPTreeTableBase.TableHeaderUiFacadeImpl,9,1,1,0,71,56
net.sourceforge.ganttproject.GPTreeTableBase.VscrollAdjustmentListener,7,1,3,0,16,7
