Complexity metrics,Sun, 4 Dec 2022 04:19:03 WET
Method,CogC,ev(G),iv(G),v(G)
biz.ganttproject.core.calendar.GanttDaysOff.getStart(),0,1,1,1
biz.ganttproject.core.calendar.GanttDaysOff.isADayOff(Date),2,1,4,4
biz.ganttproject.core.calendar.GanttDaysOff.isADayOff(GanttCalendar),2,1,4,4
biz.ganttproject.core.calendar.GanttDaysOff.isADayOffInWeek(Date),5,3,5,6
biz.ganttproject.core.calendar.GanttDaysOff.toString(),0,1,1,1
biz.ganttproject.core.calendar.ImportCalendarOption.ImportCalendarOption(),0,1,1,1
biz.ganttproject.core.calendar.ImportCalendarOption.ImportCalendarOption(Values),0,1,1,1
biz.ganttproject.core.calendar.ImportCalendarOption.Values.toString(),0,1,1,1
biz.ganttproject.core.calendar.WeekendCalendarImpl.WeekendCalendarImpl(),0,1,1,1
biz.ganttproject.core.calendar.WeekendCalendarImpl.WeekendCalendarImpl(String),0,1,1,1
biz.ganttproject.core.calendar.WeekendCalendarImpl.copy(),1,1,2,2
biz.ganttproject.core.calendar.WeekendCalendarImpl.findClosestWorkingTime(Date),3,3,3,5
"biz.ganttproject.core.calendar.WeekendCalendarImpl.getActivities(Date, Date)",9,4,6,8
"biz.ganttproject.core.calendar.WeekendCalendarImpl.getActivities(Date, TimeDuration)",0,1,1,1
"biz.ganttproject.core.calendar.WeekendCalendarImpl.getActivitiesBackward(Date, TimeUnit, long)",4,1,3,3
"biz.ganttproject.core.calendar.WeekendCalendarImpl.getActivitiesForward(Date, TimeUnit, long)",0,1,1,1
biz.ganttproject.core.calendar.WeekendCalendarImpl.getBaseCalendarID(),0,1,1,1
biz.ganttproject.core.calendar.WeekendCalendarImpl.getDayMask(Date),7,2,3,7
biz.ganttproject.core.calendar.WeekendCalendarImpl.getEvent(Date),1,1,2,2
biz.ganttproject.core.calendar.WeekendCalendarImpl.getOnlyShowWeekends(),0,1,1,1
biz.ganttproject.core.calendar.WeekendCalendarImpl.getPublicHolidays(),0,1,1,1
