Lines of code metrics,domingo, 4 dez. 2022 22:59:46 WET
Method,CLOC,JLOC,LOC,NCLOC,RLOC
biz.ganttproject.core.calendar.ImportCalendarOption.ImportCalendarOption(Values),0,0,4,4,"25,00%"
biz.ganttproject.core.calendar.ImportCalendarOption.Values.toString(),0,0,4,4,"57,14%"
biz.ganttproject.core.calendar.WeekendCalendarImpl.WeekendCalendarImpl(),0,0,3,3,"0,99%"
biz.ganttproject.core.calendar.WeekendCalendarImpl.WeekendCalendarImpl(String),0,0,4,4,"1,32%"
biz.ganttproject.core.calendar.WeekendCalendarImpl.copy(),1,0,11,10,"3,63%"
biz.ganttproject.core.calendar.WeekendCalendarImpl.findClosestWorkingTime(Date),0,0,11,11,"3,63%"
"biz.ganttproject.core.calendar.WeekendCalendarImpl.getActivities(Date, Date)",0,0,24,24,"7,92%"
"biz.ganttproject.core.calendar.WeekendCalendarImpl.getActivities(Date, TimeDuration)",0,0,4,4,"1,32%"
"biz.ganttproject.core.calendar.WeekendCalendarImpl.getActivitiesBackward(Date, TimeUnit, long)",0,0,21,21,"6,93%"
"biz.ganttproject.core.calendar.WeekendCalendarImpl.getActivitiesForward(Date, TimeUnit, long)",0,0,21,21,"6,93%"
biz.ganttproject.core.calendar.WeekendCalendarImpl.getBaseCalendarID(),0,0,4,4,"1,32%"
biz.ganttproject.core.calendar.WeekendCalendarImpl.getDayMask(Date),0,0,23,23,"7,59%"
biz.ganttproject.core.calendar.WeekendCalendarImpl.getEvent(Date),0,0,7,7,"2,31%"
biz.ganttproject.core.calendar.WeekendCalendarImpl.getOnlyShowWeekends(),0,0,4,4,"1,32%"
biz.ganttproject.core.calendar.WeekendCalendarImpl.getPublicHolidays(),0,0,7,7,"2,31%"
biz.ganttproject.core.calendar.WeekendCalendarImpl.getRecurringDate(Date),0,0,5,5,"1,65%"
biz.ganttproject.core.calendar.WeekendCalendarImpl.getWeekDayType(int),0,0,4,4,"1,32%"
biz.ganttproject.core.calendar.WeekendCalendarImpl.getWeekendDaysCount(),0,0,3,3,"0,99%"
"biz.ganttproject.core.calendar.WeekendCalendarImpl.importCalendar(GPCalendar, ImportCalendarOption)",0,0,24,24,"7,92%"
biz.ganttproject.core.calendar.WeekendCalendarImpl.isPublicHoliDay(Date),2,0,27,25,"8,91%"
biz.ganttproject.core.calendar.WeekendCalendarImpl.isWeekend(Date),0,0,8,8,"2,64%"
biz.ganttproject.core.calendar.WeekendCalendarImpl.reset(),0,0,10,10,"3,30%"
biz.ganttproject.core.calendar.WeekendCalendarImpl.setBaseCalendarID(String),0,0,4,4,"1,32%"
biz.ganttproject.core.calendar.WeekendCalendarImpl.setOnlyShowWeekends(boolean),0,0,5,5,"1,65%"
biz.ganttproject.core.calendar.WeekendCalendarImpl.setPublicHolidays(Collection<CalendarEvent>),15,0,30,15,"9,90%"
"biz.ganttproject.core.calendar.WeekendCalendarImpl.setWeekDayType(int, DayType)",0,0,8,8,"2,64%"
biz.ganttproject.core.calendar.WeekendCalendarImplTest.testOneOffHoliday(),0,0,9,9,"10,11%"
biz.ganttproject.core.calendar.WeekendCalendarImplTest.testOneOffWorking(),0,0,9,9,"10,11%"
biz.ganttproject.core.calendar.WeekendCalendarImplTest.testOneOffWorkingWeekend(),0,0,9,9,"10,11%"
biz.ganttproject.core.calendar.WeekendCalendarImplTest.testRecurringHoliday(),0,0,8,8,"8,99%"
biz.ganttproject.core.calendar.WeekendCalendarImplTest.testSetEvents(),0,0,7,7,"7,87%"
"biz.ganttproject.core.calendar.walker.ForwardTimeWalker.ForwardTimeWalker(GPCalendarCalc, TimeUnit)",0,0,4,4,"10,53%"
biz.ganttproject.core.calendar.walker.ForwardTimeWalker.getTimeUnit(),0,0,3,3,"7,89%"
biz.ganttproject.core.calendar.walker.ForwardTimeWalker.isMoving(),0,n/a,n/a,1,"2,63%"
"biz.ganttproject.core.calendar.walker.ForwardTimeWalker.processNonWorkingTime(Date, Date)",0,n/a,n/a,1,"2,63%"
"biz.ganttproject.core.calendar.walker.ForwardTimeWalker.processWorkingTime(Date, Date)",0,n/a,n/a,1,"2,63%"
biz.ganttproject.core.calendar.walker.ForwardTimeWalker.walk(Date),0,0,17,17,"44,74%"
"biz.ganttproject.core.calendar.walker.WorkingUnitCounter.WorkingUnitCounter(GPCalendarCalc, TimeUnit)",0,0,3,3,"6,67%"
biz.ganttproject.core.calendar.walker.WorkingUnitCounter.getNonWorkingTime(),0,0,3,3,"6,67%"
biz.ganttproject.core.calendar.walker.WorkingUnitCounter.isMoving(),0,0,4,4,"8,89%"
"biz.ganttproject.core.calendar.walker.WorkingUnitCounter.processNonWorkingTime(Date, Date)",0,0,5,5,"11,11%"
"biz.ganttproject.core.calendar.walker.WorkingUnitCounter.processWorkingTime(Date, Date)",0,0,5,5,"11,11%"
"biz.ganttproject.core.calendar.walker.WorkingUnitCounter.run(Date, Date)",0,0,13,13,"28,89%"
"biz.ganttproject.core.chart.canvas.Canvas.Arrow.Arrow(int, int)",0,0,4,4,"25,00%"
biz.ganttproject.core.chart.canvas.Canvas.Arrow.getLength(),0,0,3,3,"18,75%"
biz.ganttproject.core.chart.canvas.Canvas.Arrow.getWidth(),0,0,3,3,"18,75%"
biz.ganttproject.core.chart.canvas.Canvas.Canvas(),0,0,3,3,"0,57%"
"biz.ganttproject.core.chart.canvas.Canvas.Canvas(int, int)",0,0,4,4,"0,76%"
"biz.ganttproject.core.chart.canvas.Canvas.Label.Label(Text, String, int)",0,0,3,3,"15,00%"
"biz.ganttproject.core.chart.canvas.Canvas.Label.Label(Text, String, int, int)",0,0,6,6,"30,00%"
biz.ganttproject.core.chart.canvas.Canvas.Label.setVisible(boolean),0,0,5,5,"25,00%"
"biz.ganttproject.core.chart.canvas.Canvas.Line.Line(int, int, int, int)",0,0,6,6,"19,35%"
biz.ganttproject.core.chart.canvas.Canvas.Line.getArrow(),0,0,3,3,"9,68%"
biz.ganttproject.core.chart.canvas.Canvas.Line.getFinishX(),0,0,3,3,"9,68%"
biz.ganttproject.core.chart.canvas.Canvas.Line.getFinishY(),0,0,3,3,"9,68%"
biz.ganttproject.core.chart.canvas.Canvas.Line.getStartX(),0,0,3,3,"9,68%"
biz.ganttproject.core.chart.canvas.Canvas.Line.getStartY(),0,0,3,3,"9,68%"
biz.ganttproject.core.chart.canvas.Canvas.Line.setArrow(Arrow),0,0,3,3,"9,68%"
biz.ganttproject.core.chart.canvas.Canvas.Polygon.Polygon(int...),0,0,20,20,"30,77%"
biz.ganttproject.core.chart.canvas.Canvas.Polygon.getBottomY(),0,0,3,3,"4,62%"
biz.ganttproject.core.chart.canvas.Canvas.Polygon.getHeight(),0,0,3,3,"4,62%"
biz.ganttproject.core.chart.canvas.Canvas.Polygon.getLeftX(),0,0,3,3,"4,62%"
biz.ganttproject.core.chart.canvas.Canvas.Polygon.getMiddleX(),0,0,3,3,"4,62%"
biz.ganttproject.core.chart.canvas.Canvas.Polygon.getMiddleY(),0,0,3,3,"4,62%"
biz.ganttproject.core.chart.canvas.Canvas.Polygon.getPointCount(),0,0,3,3,"4,62%"
biz.ganttproject.core.chart.canvas.Canvas.Polygon.getPointsX(),0,0,3,3,"4,62%"
biz.ganttproject.core.chart.canvas.Canvas.Polygon.getPointsY(),0,0,3,3,"4,62%"
biz.ganttproject.core.chart.canvas.Canvas.Polygon.getRightX(),0,0,3,3,"4,62%"
biz.ganttproject.core.chart.canvas.Canvas.Polygon.getTopY(),0,0,3,3,"4,62%"
biz.ganttproject.core.chart.canvas.Canvas.Polygon.getWidth(),0,0,3,3,"4,62%"
biz.ganttproject.core.chart.canvas.Canvas.Polygon.toString(),0,0,4,4,"6,15%"
"biz.ganttproject.core.chart.canvas.Canvas.Rectangle.Rectangle(int, int, int, int)",0,0,3,3,"25,00%"
biz.ganttproject.core.chart.canvas.Canvas.Rectangle.getBackgroundPaint(),0,0,3,3,"25,00%"
biz.ganttproject.core.chart.canvas.Canvas.Rectangle.setBackgroundPaint(Paint),0,0,3,3,"25,00%"
biz.ganttproject.core.chart.canvas.Canvas.Shape.addStyle(String),0,0,3,3,"5,26%"
biz.ganttproject.core.chart.canvas.Canvas.Shape.getBackgroundColor(),0,0,3,3,"5,26%"
biz.ganttproject.core.chart.canvas.Canvas.Shape.getForegroundColor(),0,0,3,3,"5,26%"
biz.ganttproject.core.chart.canvas.Canvas.Shape.getModelObject(),0,0,3,3,"5,26%"
biz.ganttproject.core.chart.canvas.Canvas.Shape.getOpacity(),0,0,3,3,"5,26%"
biz.ganttproject.core.chart.canvas.Canvas.Shape.getStyle(),0,0,3,3,"5,26%"
biz.ganttproject.core.chart.canvas.Canvas.Shape.getStyles(),0,0,6,6,"10,53%"
biz.ganttproject.core.chart.canvas.Canvas.Shape.hasStyle(String),0,0,3,3,"5,26%"
biz.ganttproject.core.chart.canvas.Canvas.Shape.isVisible(),0,0,3,3,"5,26%"
biz.ganttproject.core.chart.canvas.Canvas.Shape.setBackgroundColor(Color),0,0,3,3,"5,26%"
biz.ganttproject.core.chart.canvas.Canvas.Shape.setForegroundColor(Color),0,0,3,3,"5,26%"
biz.ganttproject.core.chart.canvas.Canvas.Shape.setModelObject(Object),0,0,3,3,"5,26%"
biz.ganttproject.core.chart.canvas.Canvas.Shape.setOpacity(float),0,0,3,3,"5,26%"
biz.ganttproject.core.chart.canvas.Canvas.Shape.setStyle(String),0,0,3,3,"5,26%"
biz.ganttproject.core.chart.canvas.Canvas.Shape.setVisible(boolean),0,0,3,3,"5,26%"
"biz.ganttproject.core.chart.canvas.Canvas.Text.Text(int, int, String, SpatialIndex<Text>)",0,0,9,9,"10,59%"
"biz.ganttproject.core.chart.canvas.Canvas.Text.Text(int, int, TextSelector)",0,0,3,3,"3,53%"
"biz.ganttproject.core.chart.canvas.Canvas.Text.Text(int, int, TextSelector, SpatialIndex<Text>)",0,0,7,7,"8,24%"
"biz.ganttproject.core.chart.canvas.Canvas.Text.createLabel(String, int)",0,0,3,3,"3,53%"
"biz.ganttproject.core.chart.canvas.Canvas.Text.createLabel(String, int, int)",0,0,3,3,"3,53%"
biz.ganttproject.core.chart.canvas.Canvas.Text.getBottomY(),0,0,3,3,"3,53%"
biz.ganttproject.core.chart.canvas.Canvas.Text.getFont(),0,0,3,3,"3,53%"
biz.ganttproject.core.chart.canvas.Canvas.Text.getHAlignment(),0,0,3,3,"3,53%"
biz.ganttproject.core.chart.canvas.Canvas.Text.getLabels(TextMetrics),3,0,6,3,"7,06%"
biz.ganttproject.core.chart.canvas.Canvas.Text.getLeftX(),0,0,3,3,"3,53%"
biz.ganttproject.core.chart.canvas.Canvas.Text.getMaxLength(),0,0,3,3,"3,53%"
biz.ganttproject.core.chart.canvas.Canvas.Text.getTextSelector(),0,0,3,3,"3,53%"
biz.ganttproject.core.chart.canvas.Canvas.Text.getVAlignment(),0,0,3,3,"3,53%"
biz.ganttproject.core.chart.canvas.Canvas.Text.index(Label),0,0,6,6,"7,06%"
"biz.ganttproject.core.chart.canvas.Canvas.Text.setAlignment(HAlignment, VAlignment)",0,0,4,4,"4,71%"
biz.ganttproject.core.chart.canvas.Canvas.Text.setFont(Font),0,0,3,3,"3,53%"
biz.ganttproject.core.chart.canvas.Canvas.Text.setMaxLength(int),0,0,3,3,"3,53%"
biz.ganttproject.core.chart.canvas.Canvas.Text.setSelector(TextSelector),0,0,3,3,"3,53%"
