Lines of code metrics,domingo, 4 dez. 2022 22:59:46 WET
Method,CLOC,JLOC,LOC,NCLOC,RLOC
"net.sourceforge.ganttproject.io.GanttChartViewSaver.save(ColumnList, TransformerHandler)",0,0,25,25,"92,59%"
net.sourceforge.ganttproject.io.GanttTXTOpen.GanttTXTOpen(TaskManager),0,0,3,3,"12,50%"
net.sourceforge.ganttproject.io.GanttTXTOpen.load(File),4,1,18,14,"75,00%"
net.sourceforge.ganttproject.io.GanttXMLOpen.DefaultTagHandler.DefaultTagHandler(),0,0,3,3,"4,05%"
net.sourceforge.ganttproject.io.GanttXMLOpen.DefaultTagHandler.appendCdata(String),0,0,4,4,"5,41%"
"net.sourceforge.ganttproject.io.GanttXMLOpen.DefaultTagHandler.endElement(String, String, String)",0,0,14,14,"18,92%"
net.sourceforge.ganttproject.io.GanttXMLOpen.DefaultTagHandler.hasCdata(),0,0,4,4,"5,41%"
"net.sourceforge.ganttproject.io.GanttXMLOpen.DefaultTagHandler.startElement(String, String, String, Attributes)",5,0,45,43,"60,81%"
"net.sourceforge.ganttproject.io.GanttXMLOpen.GanttXMLOpen(PrjInfos, UIConfiguration, TaskManager, UIFacade)",1,0,9,9,"4,84%"
net.sourceforge.ganttproject.io.GanttXMLOpen.GanttXMLOpen(TaskManager),0,0,4,4,"2,15%"
net.sourceforge.ganttproject.io.GanttXMLOpen.TimelineTagHandler.TimelineTagHandler(),0,0,3,3,"8,33%"
net.sourceforge.ganttproject.io.GanttXMLOpen.TimelineTagHandler.onEndElement(),0,0,12,12,"33,33%"
net.sourceforge.ganttproject.io.GanttXMLOpen.TimelineTagHandler.onStartElement(Attributes),0,0,5,5,"13,89%"
net.sourceforge.ganttproject.io.GanttXMLOpen.TimelineTagHandler.parsingFinished(),0,0,10,10,"27,78%"
net.sourceforge.ganttproject.io.GanttXMLOpen.TimelineTagHandler.parsingStarted(),0,0,3,3,"8,33%"
net.sourceforge.ganttproject.io.GanttXMLOpen.addParsingListener(ParsingListener),0,0,4,4,"2,15%"
net.sourceforge.ganttproject.io.GanttXMLOpen.addTagHandler(TagHandler),0,0,4,4,"2,15%"
net.sourceforge.ganttproject.io.GanttXMLOpen.doLoad(InputStream),1,0,11,10,"5,91%"
net.sourceforge.ganttproject.io.GanttXMLOpen.getContext(),0,0,4,4,"2,15%"
net.sourceforge.ganttproject.io.GanttXMLOpen.getDefaultTagHandler(),0,0,4,4,"2,15%"
net.sourceforge.ganttproject.io.GanttXMLOpen.getTimelineTagHandler(),0,0,4,4,"2,15%"
net.sourceforge.ganttproject.io.GanttXMLOpen.load(File),0,0,10,10,"5,38%"
net.sourceforge.ganttproject.io.GanttXMLOpen.load(InputStream),0,0,4,4,"2,15%"
net.sourceforge.ganttproject.io.GanttXMLSaver.GanttXMLSaver(IGanttProject),0,0,3,3,"2,50%"
"net.sourceforge.ganttproject.io.GanttXMLSaver.GanttXMLSaver(IGanttProject, TaskTreeUIFacade, GanttResourcePanel, GanttGraphicArea, UIFacade)",0,0,6,6,"5,00%"
net.sourceforge.ganttproject.io.GanttXMLSaver.getProject(),0,0,3,3,"2,50%"
net.sourceforge.ganttproject.io.GanttXMLSaver.getUIFacade(),0,0,3,3,"2,50%"
net.sourceforge.ganttproject.io.GanttXMLSaver.save(OutputStream),4,0,50,46,"41,67%"
net.sourceforge.ganttproject.io.GanttXMLSaver.saveAssignments(TransformerHandler),0,0,3,3,"2,50%"
net.sourceforge.ganttproject.io.GanttXMLSaver.saveCalendar(TransformerHandler),0,0,3,3,"2,50%"
net.sourceforge.ganttproject.io.GanttXMLSaver.saveHistory(TransformerHandler),0,0,4,4,"3,33%"
net.sourceforge.ganttproject.io.GanttXMLSaver.saveResources(TransformerHandler),0,0,3,3,"2,50%"
net.sourceforge.ganttproject.io.GanttXMLSaver.saveRoles(TransformerHandler),1,0,25,24,"20,83%"
net.sourceforge.ganttproject.io.GanttXMLSaver.saveTasks(TransformerHandler),0,0,3,3,"2,50%"
net.sourceforge.ganttproject.io.GanttXMLSaver.saveVacations(TransformerHandler),0,0,3,3,"2,50%"
net.sourceforge.ganttproject.io.GanttXMLSaver.saveViews(TransformerHandler),0,0,5,5,"4,17%"
"net.sourceforge.ganttproject.io.HistorySaver.save(List<GanttPreviousState>, TransformerHandler)",0,0,8,8,"28,57%"
"net.sourceforge.ganttproject.io.HistorySaver.saveBaseline(GanttPreviousState, TransformerHandler)",0,0,3,3,"10,71%"
"net.sourceforge.ganttproject.io.HistorySaver.saveBaseline(String, List<GanttPreviousStateTask>, TransformerHandler)",0,0,15,15,"53,57%"
"net.sourceforge.ganttproject.io.OptionSaver.saveOption(String, GPOption<?>, TransformerHandler)",0,0,12,12,"34,29%"
"net.sourceforge.ganttproject.io.OptionSaver.saveOptionList(TransformerHandler, GPOption<?>...)",0,0,3,3,"8,57%"
"net.sourceforge.ganttproject.io.OptionSaver.saveOptionList(TransformerHandler, Iterable<GPOption<?>>)",0,0,8,8,"22,86%"
"net.sourceforge.ganttproject.io.OptionSaver.saveOptionMap(Iterable<Entry<String, GPOption<?>>>, TransformerHandler)",0,0,5,5,"14,29%"
"net.sourceforge.ganttproject.io.ResourceSaver.save(IGanttProject, TransformerHandler)",0,0,21,21,"28,00%"
"net.sourceforge.ganttproject.io.ResourceSaver.saveCustomColumnDefinitions(IGanttProject, TransformerHandler)",9,0,25,16,"33,33%"
"net.sourceforge.ganttproject.io.ResourceSaver.saveCustomProperties(IGanttProject, HumanResource, TransformerHandler)",2,0,19,17,"25,33%"
"net.sourceforge.ganttproject.io.ResourceSaver.saveRates(HumanResource, TransformerHandler)",0,0,8,8,"10,67%"
"net.sourceforge.ganttproject.io.SaverBase.addAttribute(String, Boolean, AttributesImpl)",0,0,3,3,"5,56%"
"net.sourceforge.ganttproject.io.SaverBase.addAttribute(String, String, AttributesImpl)",0,0,5,5,"9,26%"
"net.sourceforge.ganttproject.io.SaverBase.addAttribute(String, int, AttributesImpl)",0,0,3,3,"5,56%"
"net.sourceforge.ganttproject.io.SaverBase.cdataElement(String, String, AttributesImpl, TransformerHandler)",0,0,11,11,"20,37%"
net.sourceforge.ganttproject.io.SaverBase.createHandler(Result),0,0,11,11,"20,37%"
net.sourceforge.ganttproject.io.SaverBase.emptyComment(TransformerHandler),0,0,3,3,"5,56%"
"net.sourceforge.ganttproject.io.SaverBase.emptyElement(String, AttributesImpl, TransformerHandler)",0,0,5,5,"9,26%"
"net.sourceforge.ganttproject.io.SaverBase.endElement(String, TransformerHandler)",0,0,3,3,"5,56%"
"net.sourceforge.ganttproject.io.SaverBase.startElement(String, AttributesImpl, TransformerHandler)",0,0,4,4,"7,41%"
"net.sourceforge.ganttproject.io.SaverBase.startElement(String, TransformerHandler)",0,0,3,3,"5,56%"
net.sourceforge.ganttproject.io.TaskSaver.encodeFieldType(Class<?>),0,0,3,3,"2,01%"
"net.sourceforge.ganttproject.io.TaskSaver.save(IGanttProject, TransformerHandler)",0,0,16,16,"10,74%"
"net.sourceforge.ganttproject.io.TaskSaver.writeTask(TransformerHandler, GanttTask, CustomPropertyManager)",4,0,75,71,"50,34%"
"net.sourceforge.ganttproject.io.TaskSaver.writeTaskProperties(TransformerHandler, CustomPropertyManager)",0,0,34,34,"22,82%"
"net.sourceforge.ganttproject.io.TaskSaver.writeTaskProperty(TransformerHandler, String, String, String, String)",0,0,4,4,"2,68%"
"net.sourceforge.ganttproject.io.TaskSaver.writeTaskProperty(TransformerHandler, String, String, String, String, String, Map<String, String>)",0,0,15,15,"10,07%"
"net.sourceforge.ganttproject.io.VacationSaver.save(IGanttProject, TransformerHandler)",0,0,17,17,"89,47%"
"net.sourceforge.ganttproject.io.ViewSaver.save(UIFacade, TransformerHandler)",0,0,15,15,"25,42%"
"net.sourceforge.ganttproject.io.ViewSaver.writeColumns(ColumnList, TransformerHandler)",0,0,13,13,"22,03%"
net.sourceforge.ganttproject.io.ViewSaver.writeRecentColors(TransformerHandler),0,0,3,3,"5,08%"
"net.sourceforge.ganttproject.io.ViewSaver.writeTimelineTasks(UIFacade, TransformerHandler)",4,4,18,14,"30,51%"
"net.sourceforge.ganttproject.io.XmlParser.XmlParser(List<TagHandler>, List<ParsingListener>)",0,0,4,4,"4,65%"
"net.sourceforge.ganttproject.io.XmlParser.characters(char[], int, int)",0,0,12,12,"13,95%"
net.sourceforge.ganttproject.io.XmlParser.endCDATA(),0,0,4,4,"4,65%"
net.sourceforge.ganttproject.io.XmlParser.endDocument(),0,0,6,6,"6,98%"
"net.sourceforge.ganttproject.io.XmlParser.endElement(String, String, String)",0,0,6,6,"6,98%"
net.sourceforge.ganttproject.io.XmlParser.parse(InputStream),2,0,23,21,"26,74%"
net.sourceforge.ganttproject.io.XmlParser.startCDATA(),0,0,4,4,"4,65%"
net.sourceforge.ganttproject.io.XmlParser.startDocument(),0,0,4,4,"4,65%"
"net.sourceforge.ganttproject.io.XmlParser.startElement(String, String, String, Attributes)",3,0,13,12,"15,12%"
net.sourceforge.ganttproject.language.CharSetMap.CharSetMap(),8,3,27,19,"6,35%"
net.sourceforge.ganttproject.language.CharSetMap.CharSetMap(File),4,8,12,4,"2,82%"
net.sourceforge.ganttproject.language.CharSetMap.CharSetMap(InputStream),4,8,12,4,"2,82%"
net.sourceforge.ganttproject.language.CharSetMap.CharSetMap(Properties),4,6,10,4,"2,35%"
net.sourceforge.ganttproject.language.CharSetMap.CharSetMap(String),4,8,12,4,"2,82%"
net.sourceforge.ganttproject.language.CharSetMap.getCharSet(Locale),8,9,33,22,"7,76%"
"net.sourceforge.ganttproject.language.CharSetMap.getCharSet(Locale, String)",11,14,49,33,"11,53%"
net.sourceforge.ganttproject.language.CharSetMap.getCharSet(String),4,7,11,4,"2,59%"
"net.sourceforge.ganttproject.language.CharSetMap.getCharSet(String, String)",4,9,13,4,"3,06%"
net.sourceforge.ganttproject.language.CharSetMap.loadFile(File),4,9,12,3,"2,82%"
net.sourceforge.ganttproject.language.CharSetMap.loadPath(String),4,9,12,3,"2,82%"
net.sourceforge.ganttproject.language.CharSetMap.loadResource(String),4,7,19,12,"4,47%"
net.sourceforge.ganttproject.language.CharSetMap.loadStream(InputStream),4,9,14,5,"3,29%"
net.sourceforge.ganttproject.language.CharSetMap.searchCharSet(String),7,7,30,20,"7,06%"
net.sourceforge.ganttproject.language.CharSetMap.searchCharSet(String[]),4,7,19,12,"4,47%"
"net.sourceforge.ganttproject.language.CharSetMap.searchCharSet(String[], StringBuffer, int)",4,11,32,21,"7,53%"
"net.sourceforge.ganttproject.language.CharSetMap.setCharSet(String, String)",4,8,15,7,"3,53%"
"net.sourceforge.ganttproject.language.CharSetMap.setCommonCharSet(String, String)",4,8,14,6,"3,29%"
net.sourceforge.ganttproject.language.GanttLanguage.CalendarFactoryImpl.getLocale(),0,0,4,4,"30,77%"
net.sourceforge.ganttproject.language.GanttLanguage.CalendarFactoryImpl.getShortDateFormat(),0,0,4,4,"30,77%"
net.sourceforge.ganttproject.language.GanttLanguage.CalendarFactoryImpl.setLocaleImpl(),0,0,3,3,"23,08%"
net.sourceforge.ganttproject.language.GanttLanguage.Event.Event(GanttLanguage),0,0,3,3,"37,50%"
net.sourceforge.ganttproject.language.GanttLanguage.Event.getLanguage(),0,0,3,3,"37,50%"
net.sourceforge.ganttproject.language.GanttLanguage.GanttLanguage(),0,0,16,16,"5,37%"
net.sourceforge.ganttproject.language.GanttLanguage.Listener.languageChanged(Event),0,n/a,n/a,1,"33,33%"
net.sourceforge.ganttproject.language.GanttLanguage.addListener(Listener),0,0,3,3,"1,01%"
net.sourceforge.ganttproject.language.GanttLanguage.applyDateFormatLocale(Locale),0,0,12,12,"4,03%"
net.sourceforge.ganttproject.language.GanttLanguage.correctLabel(String),1,1,11,10,"3,69%"
net.sourceforge.ganttproject.language.GanttLanguage.createDateFormat(String),0,0,3,3,"1,01%"
net.sourceforge.ganttproject.language.GanttLanguage.fireLanguageChanged(),0,0,7,7,"2,35%"
net.sourceforge.ganttproject.language.GanttLanguage.formatDate(Calendar),0,0,3,3,"1,01%"
net.sourceforge.ganttproject.language.GanttLanguage.formatLanguageAndCountry(Locale),0,0,29,29,"9,73%"
net.sourceforge.ganttproject.language.GanttLanguage.formatShortDate(Calendar),0,0,3,3,"1,01%"
"net.sourceforge.ganttproject.language.GanttLanguage.formatText(String, Object...)",0,0,4,4,"1,34%"
net.sourceforge.ganttproject.language.GanttLanguage.formatTime(Calendar),0,0,3,3,"1,01%"
net.sourceforge.ganttproject.language.GanttLanguage.getAvailableLocales(),0,0,28,28,"9,40%"
net.sourceforge.ganttproject.language.GanttLanguage.getCharSet(),0,0,3,3,"1,01%"
net.sourceforge.ganttproject.language.GanttLanguage.getComponentOrientation(),0,0,3,3,"1,01%"
net.sourceforge.ganttproject.language.GanttLanguage.getCorrectedLabel(String),2,6,10,4,"3,36%"
net.sourceforge.ganttproject.language.GanttLanguage.getDateFormat(),1,1,4,3,"1,34%"
net.sourceforge.ganttproject.language.GanttLanguage.getDateFormatLocale(),0,0,3,3,"1,01%"
net.sourceforge.ganttproject.language.GanttLanguage.getDateFormatLocale(Locale),0,0,7,7,"2,35%"
net.sourceforge.ganttproject.language.GanttLanguage.getDay(int),0,0,3,3,"1,01%"
net.sourceforge.ganttproject.language.GanttLanguage.getInstance(),0,0,3,3,"1,01%"
net.sourceforge.ganttproject.language.GanttLanguage.getLocale(),1,1,4,3,"1,34%"
net.sourceforge.ganttproject.language.GanttLanguage.getLongDateFormat(),0,0,3,3,"1,01%"
net.sourceforge.ganttproject.language.GanttLanguage.getMediumDateFormat(),0,0,3,3,"1,01%"
net.sourceforge.ganttproject.language.GanttLanguage.getMonth(int),0,0,7,7,"2,35%"
net.sourceforge.ganttproject.language.GanttLanguage.getRecurringDateFormat(),0,0,3,3,"1,01%"
net.sourceforge.ganttproject.language.GanttLanguage.getResourceBundle(Locale),0,0,4,4,"1,34%"
net.sourceforge.ganttproject.language.GanttLanguage.getShortDateFormat(),0,0,3,3,"1,01%"
net.sourceforge.ganttproject.language.GanttLanguage.getShortDayNames(Locale),0,0,15,15,"5,03%"
net.sourceforge.ganttproject.language.GanttLanguage.getText(String),1,1,8,7,"2,68%"
"net.sourceforge.ganttproject.language.GanttLanguage.getText(String, Locale)",0,0,7,7,"2,35%"
net.sourceforge.ganttproject.language.GanttLanguage.parseDate(String),0,0,14,14,"4,70%"
net.sourceforge.ganttproject.language.GanttLanguage.removeListener(Listener),0,0,3,3,"1,01%"
net.sourceforge.ganttproject.language.GanttLanguage.setLocale(Locale),0,0,12,12,"4,03%"
net.sourceforge.ganttproject.language.GanttLanguage.setShortDateFormat(SimpleDateFormat),0,0,5,5,"1,68%"
net.sourceforge.ganttproject.language.LanguageOption.LanguageOption(),0,0,3,3,"5,17%"
"net.sourceforge.ganttproject.language.LanguageOption.LanguageOption(String, Locale[])",0,0,3,3,"5,17%"
net.sourceforge.ganttproject.language.LanguageOption.applyLocale(Locale),0,n/a,n/a,1,"1,72%"
net.sourceforge.ganttproject.language.LanguageOption.commit(),0,0,5,5,"8,62%"
net.sourceforge.ganttproject.language.LanguageOption.getAttributeName(),0,0,4,4,"6,90%"
net.sourceforge.ganttproject.language.LanguageOption.getPersistentValue(),0,0,13,13,"22,41%"
net.sourceforge.ganttproject.language.LanguageOption.getTagName(),0,0,4,4,"6,90%"
net.sourceforge.ganttproject.language.LanguageOption.loadPersistentValue(String),0,0,15,15,"25,86%"
net.sourceforge.ganttproject.language.LanguageOption.loadValue(String),0,0,4,4,"6,90%"
net.sourceforge.ganttproject.language.LanguageOption.objectToString(Locale),0,0,4,4,"6,90%"
net.sourceforge.ganttproject.language.ShortDateFormatOption.ShortDateFormatOption(),1,0,5,4,"10,00%"
net.sourceforge.ganttproject.language.ShortDateFormatOption.commit(),0,0,5,5,"10,00%"
net.sourceforge.ganttproject.language.ShortDateFormatOption.formatDate(Date),0,0,3,3,"6,00%"
net.sourceforge.ganttproject.language.ShortDateFormatOption.getSelectedValue(),0,0,3,3,"6,00%"
net.sourceforge.ganttproject.language.ShortDateFormatOption.loadPersistentValue(String),0,0,5,5,"10,00%"
net.sourceforge.ganttproject.language.ShortDateFormatOption.setSelectedLocale(Locale),1,0,8,7,"16,00%"
net.sourceforge.ganttproject.language.ShortDateFormatOption.setValue(String),0,0,9,9,"18,00%"
"net.sourceforge.ganttproject.language.ShortDateFormatOption.setValue(String, Object)",0,0,9,9,"18,00%"
net.sourceforge.ganttproject.parser.AbstractTagHandler.AbstractTagHandler(String),0,0,3,3,"4,41%"
"net.sourceforge.ganttproject.parser.AbstractTagHandler.AbstractTagHandler(String, boolean)",0,0,4,4,"5,88%"
net.sourceforge.ganttproject.parser.AbstractTagHandler.appendCdata(String),0,0,7,7,"10,29%"
net.sourceforge.ganttproject.parser.AbstractTagHandler.clearCdata(),0,0,3,3,"4,41%"
"net.sourceforge.ganttproject.parser.AbstractTagHandler.endElement(String, String, String)",0,0,7,7,"10,29%"
net.sourceforge.ganttproject.parser.AbstractTagHandler.getCdata(),0,0,3,3,"4,41%"
net.sourceforge.ganttproject.parser.AbstractTagHandler.hasCdata(),0,0,4,4,"5,88%"
net.sourceforge.ganttproject.parser.AbstractTagHandler.isMyTag(String),0,0,4,4,"5,88%"
net.sourceforge.ganttproject.parser.AbstractTagHandler.isTagStarted(),0,0,3,3,"4,41%"
net.sourceforge.ganttproject.parser.AbstractTagHandler.onEndElement(),0,0,2,2,"2,94%"
net.sourceforge.ganttproject.parser.AbstractTagHandler.onStartElement(Attributes),0,0,3,3,"4,41%"
net.sourceforge.ganttproject.parser.AbstractTagHandler.setTagStarted(boolean),1,0,7,6,"10,29%"
"net.sourceforge.ganttproject.parser.AbstractTagHandler.startElement(String, String, String, Attributes)",0,0,8,8,"11,76%"
"net.sourceforge.ganttproject.parser.AllocationTagHandler.AllocationTagHandler(HumanResourceManager, TaskManager, RoleManager)",0,0,6,6,"5,13%"
net.sourceforge.ganttproject.parser.AllocationTagHandler.findRole(String),0,0,21,21,"17,95%"
net.sourceforge.ganttproject.parser.AllocationTagHandler.getResourceManager(),0,0,3,3,"2,56%"
net.sourceforge.ganttproject.parser.AllocationTagHandler.getTaskManager(),0,0,3,3,"2,56%"
net.sourceforge.ganttproject.parser.AllocationTagHandler.loadAllocation(Attributes),4,0,47,43,"40,17%"
net.sourceforge.ganttproject.parser.AllocationTagHandler.onStartElement(Attributes),0,0,10,10,"8,55%"
net.sourceforge.ganttproject.parser.AllocationTagHandler.parsingFinished(),0,0,15,15,"12,82%"
net.sourceforge.ganttproject.parser.AllocationTagHandler.parsingStarted(),0,0,3,3,"2,56%"
net.sourceforge.ganttproject.parser.ColorValueParser.parseString(String),0,0,3,3,"60,00%"
net.sourceforge.ganttproject.parser.CustomPropertiesTagHandler.CustomPropertiesStructure.CustomPropertiesStructure(),0,0,2,2,"12,50%"
net.sourceforge.ganttproject.parser.CustomPropertiesTagHandler.CustomPropertiesStructure.setTaskID(int),0,0,3,3,"18,75%"
net.sourceforge.ganttproject.parser.CustomPropertiesTagHandler.CustomPropertiesStructure.setTaskPropertyID(String),0,0,3,3,"18,75%"
net.sourceforge.ganttproject.parser.CustomPropertiesTagHandler.CustomPropertiesStructure.setValue(String),0,0,3,3,"18,75%"
"net.sourceforge.ganttproject.parser.CustomPropertiesTagHandler.CustomPropertiesTagHandler(ParsingContext, TaskManager)",0,0,6,6,"6,32%"
net.sourceforge.ganttproject.parser.CustomPropertiesTagHandler.loadProperty(Attributes),1,0,10,9,"10,53%"
net.sourceforge.ganttproject.parser.CustomPropertiesTagHandler.onStartElement(Attributes),0,0,5,5,"5,26%"
net.sourceforge.ganttproject.parser.CustomPropertiesTagHandler.parsingFinished(),3,3,43,39,"45,26%"
net.sourceforge.ganttproject.parser.CustomPropertiesTagHandler.parsingStarted(),3,3,7,3,"7,37%"
net.sourceforge.ganttproject.parser.DefaultWeekTagHandler.DefaultWeekTagHandler(GPCalendar),0,0,7,7,"23,33%"
net.sourceforge.ganttproject.parser.DefaultWeekTagHandler.getShortDayName(int),0,0,4,4,"13,33%"
net.sourceforge.ganttproject.parser.DefaultWeekTagHandler.loadCalendar(Attributes),0,0,9,9,"30,00%"
net.sourceforge.ganttproject.parser.DefaultWeekTagHandler.onStartElement(Attributes),0,0,5,5,"16,67%"
"net.sourceforge.ganttproject.parser.DependencyTagHandler.DependencyTagHandler(ParsingContext, TaskManager, UIFacade)",0,0,6,6,"5,36%"
net.sourceforge.ganttproject.parser.DependencyTagHandler.GanttDependStructure.GanttDependStructure(),0,0,2,2,"8,70%"
net.sourceforge.ganttproject.parser.DependencyTagHandler.GanttDependStructure.setDependTaskID(int),0,0,3,3,"13,04%"
net.sourceforge.ganttproject.parser.DependencyTagHandler.GanttDependStructure.setDependType(Type),0,0,3,3,"13,04%"
net.sourceforge.ganttproject.parser.DependencyTagHandler.GanttDependStructure.setDifference(int),0,0,3,3,"13,04%"
net.sourceforge.ganttproject.parser.DependencyTagHandler.GanttDependStructure.setHardness(Hardness),0,0,3,3,"13,04%"
net.sourceforge.ganttproject.parser.DependencyTagHandler.GanttDependStructure.setTaskID(int),0,0,3,3,"13,04%"
net.sourceforge.ganttproject.parser.DependencyTagHandler.getContext(),0,0,3,3,"2,68%"
net.sourceforge.ganttproject.parser.DependencyTagHandler.getDependencies(),0,0,3,3,"2,68%"
net.sourceforge.ganttproject.parser.DependencyTagHandler.getDependencyAddressee(),0,0,3,3,"2,68%"
net.sourceforge.ganttproject.parser.DependencyTagHandler.getDependencyAddresser(Attributes),0,0,8,8,"7,14%"
net.sourceforge.ganttproject.parser.DependencyTagHandler.loadDependency(Attributes),0,0,28,28,"25,00%"
net.sourceforge.ganttproject.parser.DependencyTagHandler.onStartElement(Attributes),0,0,5,5,"4,46%"
net.sourceforge.ganttproject.parser.DependencyTagHandler.parsingFinished(),0,0,24,24,"21,43%"
net.sourceforge.ganttproject.parser.DependencyTagHandler.parsingStarted(),0,0,3,3,"2,68%"
net.sourceforge.ganttproject.parser.FileFormatException.FileFormatException(),0,0,2,2,"15,38%"
net.sourceforge.ganttproject.parser.FileFormatException.FileFormatException(String),0,0,3,3,"23,08%"
"net.sourceforge.ganttproject.parser.FileFormatException.FileFormatException(String, Throwable)",0,0,3,3,"23,08%"
net.sourceforge.ganttproject.parser.FileFormatException.FileFormatException(Throwable),0,0,3,3,"23,08%"
net.sourceforge.ganttproject.parser.GPParser.addParsingListener(ParsingListener),0,n/a,n/a,1,"9,09%"
net.sourceforge.ganttproject.parser.GPParser.addTagHandler(TagHandler),0,n/a,n/a,1,"9,09%"
net.sourceforge.ganttproject.parser.GPParser.getContext(),0,n/a,n/a,1,"9,09%"
net.sourceforge.ganttproject.parser.GPParser.getDefaultTagHandler(),0,n/a,n/a,1,"9,09%"
net.sourceforge.ganttproject.parser.GPParser.getTimelineTagHandler(),0,n/a,n/a,1,"9,09%"
net.sourceforge.ganttproject.parser.GPParser.load(InputStream),0,n/a,n/a,1,"9,09%"
net.sourceforge.ganttproject.parser.HolidayTagHandler.CalendarEventAttrs.CalendarEventAttrs(Attributes),0,0,7,7,"28,00%"
net.sourceforge.ganttproject.parser.HolidayTagHandler.CalendarEventAttrs.toString(),0,0,11,11,"44,00%"
net.sourceforge.ganttproject.parser.HolidayTagHandler.HolidayTagHandler(GPCalendar),0,0,5,5,"4,27%"
"net.sourceforge.ganttproject.parser.HolidayTagHandler.endElement(String, String, String)",2,4,20,16,"17,09%"
net.sourceforge.ganttproject.parser.HolidayTagHandler.loadHoliday(CalendarEventAttrs),0,0,23,23,"19,66%"
net.sourceforge.ganttproject.parser.HolidayTagHandler.onCalendarLoaded(),0,0,4,4,"3,42%"
net.sourceforge.ganttproject.parser.HolidayTagHandler.processLastEvent(),0,0,12,12,"10,26%"
"net.sourceforge.ganttproject.parser.HolidayTagHandler.startElement(String, String, String, Attributes)",2,4,15,11,"12,82%"
net.sourceforge.ganttproject.parser.OptionTagHandler.OptionTagHandler(T),0,0,4,4,"11,11%"
net.sourceforge.ganttproject.parser.OptionTagHandler.onEndElement(),0,0,7,7,"19,44%"
net.sourceforge.ganttproject.parser.OptionTagHandler.onStartElement(Attributes),0,0,10,10,"27,78%"
net.sourceforge.ganttproject.parser.ParserFactory.newParser(),0,n/a,n/a,1,"14,29%"
net.sourceforge.ganttproject.parser.ParserFactory.newSaver(),0,n/a,n/a,1,"14,29%"
net.sourceforge.ganttproject.parser.ParsingContext.addTaskWithLegacyFixedStart(Task),0,0,3,3,"13,64%"
net.sourceforge.ganttproject.parser.ParsingContext.getTasksWithLegacyFixedStart(),0,0,3,3,"13,64%"
net.sourceforge.ganttproject.parser.ParsingContext.isStackEmpty(),0,0,3,3,"13,64%"
net.sourceforge.ganttproject.parser.ParsingContext.peekTask(),0,0,3,3,"13,64%"
net.sourceforge.ganttproject.parser.ParsingContext.popTask(),0,0,3,3,"13,64%"
net.sourceforge.ganttproject.parser.ParsingContext.pushTask(Task),0,0,3,3,"13,64%"
net.sourceforge.ganttproject.parser.ParsingListener.parsingFinished(),0,n/a,n/a,1,"25,00%"
net.sourceforge.ganttproject.parser.ParsingListener.parsingStarted(),0,n/a,n/a,1,"25,00%"
net.sourceforge.ganttproject.parser.PreviousStateTasksTagHandler.PreviousStateTasksTagHandler(),0,0,3,3,"4,76%"
net.sourceforge.ganttproject.parser.PreviousStateTasksTagHandler.PreviousStateTasksTagHandler(List<GanttPreviousState>),0,0,3,3,"4,76%"
net.sourceforge.ganttproject.parser.PreviousStateTasksTagHandler.appendCdata(String),0,0,2,2,"3,17%"
"net.sourceforge.ganttproject.parser.PreviousStateTasksTagHandler.endElement(String, String, String)",0,0,15,15,"23,81%"
net.sourceforge.ganttproject.parser.PreviousStateTasksTagHandler.getName(),0,0,3,3,"4,76%"
net.sourceforge.ganttproject.parser.PreviousStateTasksTagHandler.getTasks(),0,0,3,3,"4,76%"
net.sourceforge.ganttproject.parser.PreviousStateTasksTagHandler.hasCdata(),0,0,3,3,"4,76%"
net.sourceforge.ganttproject.parser.PreviousStateTasksTagHandler.loadPreviousTask(Attributes),0,0,10,10,"15,87%"
net.sourceforge.ganttproject.parser.PreviousStateTasksTagHandler.setName(String),0,0,3,3,"4,76%"
"net.sourceforge.ganttproject.parser.PreviousStateTasksTagHandler.startElement(String, String, String, Attributes)",0,0,9,9,"14,29%"
"net.sourceforge.ganttproject.parser.ResourceTagHandler.ResourceTagHandler(HumanResourceManager, RoleManager, CustomPropertyManager)",1,0,8,7,"5,16%"
"net.sourceforge.ganttproject.parser.ResourceTagHandler.endElement(String, String, String)",2,4,11,7,"7,10%"
net.sourceforge.ganttproject.parser.ResourceTagHandler.findRole(String),1,0,22,21,"14,19%"
net.sourceforge.ganttproject.parser.ResourceTagHandler.getResourceManager(),0,0,3,3,"1,94%"
net.sourceforge.ganttproject.parser.ResourceTagHandler.loadCustomProperty(Attributes),0,0,12,12,"7,74%"
net.sourceforge.ganttproject.parser.ResourceTagHandler.loadCustomPropertyDefinition(Attributes),0,0,7,7,"4,52%"
net.sourceforge.ganttproject.parser.ResourceTagHandler.loadRate(Attributes),0,0,12,12,"7,74%"
net.sourceforge.ganttproject.parser.ResourceTagHandler.loadResource(Attributes),2,1,27,25,"17,42%"
net.sourceforge.ganttproject.parser.ResourceTagHandler.parsingFinished(),1,0,16,15,"10,32%"
net.sourceforge.ganttproject.parser.ResourceTagHandler.parsingStarted(),0,0,3,3,"1,94%"
"net.sourceforge.ganttproject.parser.ResourceTagHandler.startElement(String, String, String, Attributes)",2,4,24,20,"15,48%"
net.sourceforge.ganttproject.parser.RoleTagHandler.RoleTagHandler(RoleManager),1,0,5,5,"7,81%"
